term_id,zh,en,entity_type,aliases,source_status,note,preferred,variant_group,variant_note,normalization_action,occurrence_count,train_count,dev_count,test_count,entity_type_all,translation_variants,ambiguity_flag,corrected_from_en,corrected_from_entity_type,correction_note,evidence_ids
TERM_ALL_0011,上,upper,DIAGNOSIS,,extracted_from_all_entities_auto_normalized,"occurrence_count=5; first_occurrence=TCM_TEST_0009; source_translation_variants=upper; source_entity_types=DIAGNOSIS; text_type=01_core_theory_yinyang_five_elements; 02_zangfu_meridian_diagnosis; 03_zangfu_pathomechanism; 04_diagnostic_pattern_terms; evidence_ids=TCM_TEST_0009, TCM_TEST_0039, TCM_TEST_0074, TCM_TEST_0126, TCM_TEST_0188",YES,TERM_ALL_VG_0011,single_form,unchanged,5,0,0,5,DIAGNOSIS,upper,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TEST_0009, TCM_TEST_0039, TCM_TEST_0074, TCM_TEST_0126, TCM_TEST_0188"
TERM_ALL_0012,上下,upper and lower,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0292; source_translation_variants=upper and lower; source_entity_types=THERAPY; text_type=13_six_exogenous_pathogens; evidence_ids=TCM_TRAIN_0292,YES,TERM_ALL_VG_0012,single_form,unchanged,1,1,0,0,THERAPY,upper and lower,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0292
TERM_ALL_0013,上升,upward,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0337; source_translation_variants=upward; source_entity_types=CONCEPT; text_type=15_zangfu_syndrome_differentiation; evidence_ids=TCM_TRAIN_0337,YES,TERM_ALL_VG_0013,single_form,unchanged,1,1,0,0,CONCEPT,upward,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0337
TERM_ALL_0014,上焦,upper energizer,LOCATION,upper-Jiao; upper Jiao,extracted_from_all_entities_template_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0031; source_translation_variants=upper Jiao; source_entity_types=LOCATION; text_type=01_core_theory_zangfu_pathogenesis; evidence_ids=TCM_DEV_0031,YES,TERM_ALL_VG_0014,single_form,template_preferred_applied; source_variants_kept_as_aliases,1,0,1,0,LOCATION,upper Jiao,NO,upper-Jiao,,统一三焦上下部位译名，保留 upper-Jiao 作别名。,TCM_DEV_0031
TERM_ALL_0015,上焦病证,Upper-Jiao syndromes,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0287; source_translation_variants=Upper-Jiao syndromes; source_entity_types=SYNDROME; text_type=13_six_exogenous_pathogens; evidence_ids=TCM_TRAIN_0287,YES,TERM_ALL_VG_0015,single_form,unchanged,1,1,0,0,SYNDROME,Upper-Jiao syndromes,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0287
TERM_ALL_0016,上行向外,upward and outward,LOCATION,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0341; source_translation_variants=upward and outward; source_entity_types=LOCATION; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0341,YES,TERM_ALL_VG_0016,single_form,unchanged,1,1,0,0,LOCATION,upward and outward,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0341
TERM_ALL_0017,上逆病证,upward reversal syndromes,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0828; source_translation_variants=upward reversal syndromes; source_entity_types=SYNDROME; text_type=29_qi_blood_fluid_pattern_terms; evidence_ids=TCM_TRAIN_0828,YES,TERM_ALL_VG_0017,single_form,unchanged,1,1,0,0,SYNDROME,upward reversal syndromes,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0828
TERM_ALL_0018,下,lower,THERAPY,,extracted_from_all_entities_auto_normalized,"occurrence_count=4; first_occurrence=TCM_TEST_0009; source_translation_variants=lower; source_entity_types=THERAPY; text_type=01_core_theory_yinyang_five_elements; 02_zangfu_meridian_diagnosis; evidence_ids=TCM_TEST_0009, TCM_TEST_0021, TCM_TEST_0062, TCM_TEST_0068",YES,TERM_ALL_VG_0018,single_form,unchanged,4,0,0,4,THERAPY,lower,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TEST_0009, TCM_TEST_0021, TCM_TEST_0062, TCM_TEST_0068"
TERM_ALL_0019,下传,downward transmission,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0064; source_translation_variants=downward transmission; source_entity_types=THERAPY; text_type=02_five_elements_qi_fluid_meridians; evidence_ids=TCM_DEV_0064,YES,TERM_ALL_VG_0019,single_form,unchanged,1,0,1,0,THERAPY,downward transmission,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_DEV_0064
TERM_ALL_0020,下元虚寒,lower-origin deficiency cold,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0180; source_translation_variants=lower-origin deficiency cold; source_entity_types=THERAPY; text_type=04_diagnostics_symptoms_syndromes; evidence_ids=TCM_DEV_0180,YES,TERM_ALL_VG_0020,single_form,unchanged,1,0,1,0,THERAPY,lower-origin deficiency cold,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_DEV_0180
TERM_ALL_0021,下焦,lower energizer,LOCATION,lower-Jiao; lower Jiao,extracted_from_all_entities_template_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0033; source_translation_variants=lower Jiao; source_entity_types=LOCATION; ORGAN; text_type=01_core_theory_zangfu_pathogenesis; evidence_ids=TCM_DEV_0033,YES,TERM_ALL_VG_0021,single_form,template_preferred_applied; source_variants_kept_as_aliases,1,0,1,0,LOCATION; ORGAN,lower Jiao,YES,lower-Jiao,,统一三焦上下部位译名，保留 lower-Jiao 作别名。,TCM_DEV_0033
TERM_ALL_0022,下焦病证,Lower-Jiao syndromes,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0289; source_translation_variants=Lower-Jiao syndromes; source_entity_types=SYNDROME; text_type=13_six_exogenous_pathogens; evidence_ids=TCM_TRAIN_0289,YES,TERM_ALL_VG_0022,single_form,unchanged,1,1,0,0,SYNDROME,Lower-Jiao syndromes,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0289
TERM_ALL_0023,下行,flowing downward,THERAPY,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TEST_0021; source_translation_variants=flowing downward; source_entity_types=THERAPY; text_type=01_core_theory_yinyang_five_elements; 02_zangfu_meridian_diagnosis; evidence_ids=TCM_TEST_0021, TCM_TEST_0068",YES,TERM_ALL_VG_0023,single_form,unchanged,2,0,0,2,THERAPY,flowing downward,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TEST_0021, TCM_TEST_0068"
TERM_ALL_0024,下行向内,downward and inward,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0342; source_translation_variants=downward and inward; source_entity_types=THERAPY; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0342,YES,TERM_ALL_VG_0024,single_form,unchanged,1,1,0,0,THERAPY,downward and inward,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0342
TERM_ALL_0025,下降,downward,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0338; source_translation_variants=downward; source_entity_types=THERAPY; text_type=15_zangfu_syndrome_differentiation; evidence_ids=TCM_TRAIN_0338,YES,TERM_ALL_VG_0025,single_form,unchanged,1,1,0,0,THERAPY,downward,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0338
TERM_ALL_0026,下陷,depressed,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0739; source_translation_variants=depressed; source_entity_types=THERAPY; text_type=27_pathogenesis_internal_wind_fire_dampness_stasis; evidence_ids=TCM_TRAIN_0739,YES,TERM_ALL_VG_0026,single_form,unchanged,1,1,0,0,THERAPY,depressed,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0739
TERM_ALL_0027,下陷病证,sinking syndromes,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0827; source_translation_variants=sinking syndromes; source_entity_types=SYNDROME; text_type=29_qi_blood_fluid_pattern_terms; evidence_ids=TCM_TRAIN_0827,YES,TERM_ALL_VG_0027,single_form,unchanged,1,1,0,0,SYNDROME,sinking syndromes,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0827
TERM_ALL_0028,两药合用,combined use,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0353; source_translation_variants=combined use; source_entity_types=CONCEPT; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0353,YES,TERM_ALL_VG_0028,single_form,unchanged,1,1,0,0,CONCEPT,combined use,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0353
TERM_ALL_0029,中医学理论体系,theoretical system of TCM,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0001; source_translation_variants=theoretical system of TCM; source_entity_types=CONCEPT; text_type=01_core_tcm_theory; evidence_ids=TCM_TRAIN_0001,YES,TERM_ALL_VG_0029,single_form,unchanged,1,1,0,0,CONCEPT,theoretical system of TCM,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0001
TERM_ALL_0030,中央渐软,central softening,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0771; source_translation_variants=central softening; source_entity_types=CONCEPT; text_type=28_zangfu_interrelationships; evidence_ids=TCM_TRAIN_0771,YES,TERM_ALL_VG_0030,single_form,unchanged,1,1,0,0,CONCEPT,central softening,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0771
TERM_ALL_0031,中府,Zhongfu,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0324; source_translation_variants=Zhongfu; source_entity_types=CONCEPT; text_type=15_zangfu_syndrome_differentiation; evidence_ids=TCM_TRAIN_0324,YES,TERM_ALL_VG_0031,single_form,unchanged,1,1,0,0,CONCEPT,Zhongfu,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0324
TERM_ALL_0032,中气下陷,sinking of middle Qi,THERAPY,,extracted_from_all_entities_auto_normalized,"occurrence_count=3; first_occurrence=TCM_TRAIN_0424; source_translation_variants=sinking of middle Qi; source_entity_types=THERAPY; text_type=18_materia_medica_properties; 02_zangfu_meridian_diagnosis; evidence_ids=TCM_TRAIN_0424, TCM_TRAIN_0426, TCM_TEST_0062",YES,TERM_ALL_VG_0032,single_form,unchanged,3,2,0,1,THERAPY,sinking of middle Qi,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TRAIN_0424, TCM_TRAIN_0426, TCM_TEST_0062"
TERM_ALL_0033,中气不足,insufficiency of middle Qi,SUBSTANCE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TEST_0209; source_translation_variants=insufficiency of middle Qi; source_entity_types=SUBSTANCE; text_type=05_pattern_terms_pediatrics_surgery; evidence_ids=TCM_TEST_0209,YES,TERM_ALL_VG_0033,single_form,unchanged,1,0,0,1,SUBSTANCE,insufficiency of middle Qi,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TEST_0209
TERM_ALL_0034,中焦,middle energizer,LOCATION,middle-Jiao; middle Jiao,extracted_from_all_entities_template_normalized,"occurrence_count=2; first_occurrence=TCM_DEV_0101; source_translation_variants=middle Jiao; source_entity_types=LOCATION; ORGAN; text_type=03_zangfu_pathogenesis_qi_blood; 06_final_core_tcm_terms; evidence_ids=TCM_DEV_0101, TCM_DEV_0241",YES,TERM_ALL_VG_0034,single_form,template_preferred_applied; source_variants_kept_as_aliases,2,0,2,0,LOCATION; ORGAN,middle Jiao,YES,middle-Jiao,,统一三焦上下部位译名，保留 middle-Jiao 作别名。,"TCM_DEV_0101, TCM_DEV_0241"
TERM_ALL_0035,中焦气机,middle-Jiao Qi movement,PATHOGENESIS,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0215; source_translation_variants=middle-Jiao Qi movement; source_entity_types=PATHOGENESIS; text_type=05_bagang_pathogenesis_mixed_syndromes; evidence_ids=TCM_DEV_0215,YES,TERM_ALL_VG_0035,single_form,unchanged,1,0,1,0,PATHOGENESIS,middle-Jiao Qi movement,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_DEV_0215
TERM_ALL_0036,中焦湿热,middle-Jiao dampness-heat,PATHOGENESIS,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_DEV_0032; source_translation_variants=middle-Jiao dampness-heat; source_entity_types=PATHOGENESIS; text_type=01_core_theory_zangfu_pathogenesis; evidence_ids=TCM_DEV_0032,YES,TERM_ALL_VG_0036,single_form,unchanged,1,0,1,0,PATHOGENESIS,middle-Jiao dampness-heat,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_DEV_0032
TERM_ALL_0037,中焦病证,Middle-Jiao syndromes,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0288; source_translation_variants=Middle-Jiao syndromes; source_entity_types=SYNDROME; text_type=13_six_exogenous_pathogens; evidence_ids=TCM_TRAIN_0288,YES,TERM_ALL_VG_0037,single_form,unchanged,1,1,0,0,SYNDROME,Middle-Jiao syndromes,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0288
TERM_ALL_0038,中焦虚寒证,deficiency cold of the middle Jiao,SYNDROME,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TRAIN_0601; source_translation_variants=deficiency cold of the middle Jiao; source_entity_types=SYNDROME; text_type=24_surgery_local_syndrome_terms; evidence_ids=TCM_TRAIN_0601, TCM_TRAIN_0602",YES,TERM_ALL_VG_0038,single_form,unchanged,2,2,0,0,SYNDROME,deficiency cold of the middle Jiao,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TRAIN_0601, TCM_TRAIN_0602"
TERM_ALL_0039,中药配伍,compatibility of Chinese medicinals,CONCEPT,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TRAIN_0345; source_translation_variants=compatibility of Chinese medicinals; source_entity_types=CONCEPT; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0345, TCM_TRAIN_0346",YES,TERM_ALL_VG_0039,single_form,unchanged,2,2,0,0,CONCEPT,compatibility of Chinese medicinals,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TRAIN_0345, TCM_TRAIN_0346"
TERM_ALL_0040,主干,main trunks,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0300; source_translation_variants=main trunks; source_entity_types=CONCEPT; text_type=13_six_exogenous_pathogens; evidence_ids=TCM_TRAIN_0300,YES,TERM_ALL_VG_0040,single_form,unchanged,1,1,0,0,CONCEPT,main trunks,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0300
TERM_ALL_0041,主气和呼吸,govern Qi and respiration,THERAPY,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0025; source_translation_variants=govern Qi and respiration; source_entity_types=THERAPY; text_type=02_qi_blood_body_fluid; evidence_ids=TCM_TRAIN_0025,YES,TERM_ALL_VG_0041,single_form,unchanged,1,1,0,0,THERAPY,govern Qi and respiration,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0025
TERM_ALL_0042,主疏泄,govern free flow of Qi,FUNCTION,govern normal flow of Qi; govern free coursing,extracted_from_all_entities_template_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0033; source_translation_variants=govern free coursing; source_entity_types=FUNCTION; text_type=02_qi_blood_body_fluid; evidence_ids=TCM_TRAIN_0033,YES,TERM_ALL_VG_0042,single_form,template_preferred_applied; source_variants_kept_as_aliases,1,1,0,0,FUNCTION,govern free coursing,NO,govern normal flow of Qi,,补足功能动词与 Qi，避免仅译 normal flow of Qi。,TCM_TRAIN_0033
TERM_ALL_0043,主病,main disease,DISEASE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0356; source_translation_variants=main disease; source_entity_types=DISEASE; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0356,YES,TERM_ALL_VG_0043,single_form,unchanged,1,1,0,0,DISEASE,main disease,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0356
TERM_ALL_0044,主精,govern essence,SUBSTANCE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0037; source_translation_variants=govern essence; source_entity_types=SUBSTANCE; text_type=02_qi_blood_body_fluid; evidence_ids=TCM_TRAIN_0037,YES,TERM_ALL_VG_0044,single_form,unchanged,1,1,0,0,SUBSTANCE,govern essence,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0037
TERM_ALL_0045,主药,main medicinal,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0349; source_translation_variants=main medicinal; source_entity_types=CONCEPT; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0349,YES,TERM_ALL_VG_0045,single_form,unchanged,1,1,0,0,CONCEPT,main medicinal,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0349
TERM_ALL_0046,主血脉,govern blood and vessels,FUNCTION,blood and vessels,extracted_from_all_entities_template_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0021; source_translation_variants=govern blood and vessels; source_entity_types=FUNCTION; text_type=02_qi_blood_body_fluid; evidence_ids=TCM_TRAIN_0021,YES,TERM_ALL_VG_0046,single_form,template_preferred_applied,1,1,0,0,FUNCTION,govern blood and vessels,NO,blood and vessels,,原 preferred 可能被频次选为名词短语，改为功能性动词短语。,TCM_TRAIN_0021
TERM_ALL_0047,主证,main syndrome,SYNDROME,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0356; source_translation_variants=main syndrome; source_entity_types=SYNDROME; text_type=16_meridian_theory_channels_vessels; evidence_ids=TCM_TRAIN_0356,YES,TERM_ALL_VG_0047,single_form,unchanged,1,1,0,0,SYNDROME,main syndrome,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0356
TERM_ALL_0048,主运化,transportation and transformation,FUNCTION,govern transportation and transformation,extracted_from_all_entities_template_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0029; source_translation_variants=govern transportation and transformation; source_entity_types=FUNCTION; text_type=02_qi_blood_body_fluid; evidence_ids=TCM_TRAIN_0029,YES,TERM_ALL_VG_0048,single_form,template_preferred_applied; source_variants_kept_as_aliases,1,1,0,0,FUNCTION,govern transportation and transformation,NO,govern transportation and transformation,,单一译名/单一类型，未发现需要修正的问题。,TCM_TRAIN_0029
TERM_ALL_0049,久泻,prolonged diarrhea,THERAPY,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TRAIN_0991; source_translation_variants=prolonged diarrhea; source_entity_types=THERAPY; text_type=32_pediatrics_surgery_therapeutic_terms; 04_diagnostic_pattern_terms; evidence_ids=TCM_TRAIN_0991, TCM_TEST_0195",YES,TERM_ALL_VG_0049,single_form,unchanged,2,1,0,1,THERAPY,prolonged diarrhea,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TRAIN_0991, TCM_TEST_0195"
TERM_ALL_0050,乳食不节,improper feeding,CONCEPT,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TEST_0046; source_translation_variants=improper feeding; source_entity_types=CONCEPT; text_type=01_core_theory_yinyang_five_elements; 03_zangfu_pathomechanism; evidence_ids=TCM_TEST_0046, TCM_TEST_0143",YES,TERM_ALL_VG_0050,single_form,unchanged,2,0,0,2,CONCEPT,improper feeding,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TEST_0046, TCM_TEST_0143"
