id,split,zh,en,gold_count,model_count,eval_count,entities_gold,entities_model,entities_eval
TCM_TRAIN_0126,train,肝肾关系主要体现于精血同源。,The liver-kidney relationship is mainly reflected in the common source of essence and blood.,2,2,1,"[{""zh"":""肝肾"",""en"":""liver and kidneys"",""type"":""DIAGNOSIS""},{""zh"":""精血同源"",""en"":""common source of essence and blood"",""type"":""SUBSTANCE""}]","[{""zh"":""肝肾"",""en"":""liver and kidneys"",""type"":""DIAGNOSIS""},{""zh"":""精血同源"",""en"":""common source of essence and blood"",""type"":""SUBSTANCE""}]","[{""zh"":""精血同源"",""en"":""common source of essence and blood"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0127,train,脾肾关系体现于先天与后天互养。,The spleen-kidney relationship is reflected in mutual nourishment between congenital and acquired bases.,3,3,1,"[{""zh"":""脾肾"",""en"":""spleen and kidneys"",""type"":""CONCEPT""},{""zh"":""先天"",""en"":""congenital base"",""type"":""CONCEPT""},{""zh"":""后天"",""en"":""acquired base"",""type"":""CONCEPT""}]","[{""zh"":""脾肾"",""en"":""spleen and kidneys"",""type"":""CONCEPT""},{""zh"":""先天"",""en"":""congenital base"",""type"":""CONCEPT""},{""zh"":""后天"",""en"":""acquired base"",""type"":""CONCEPT""}]","[{""zh"":""后天"",""en"":""acquired base"",""type"":""CONCEPT""}]"
TCM_TRAIN_0130,train,脾与胃共同完成饮食物的消化吸收。,The spleen and stomach jointly complete digestion and absorption of food and drink.,2,1,1,"[{""zh"":""脾胃"",""en"":""spleen and stomach"",""type"":""DIAGNOSIS""},{""zh"":""消化吸收"",""en"":""digestion and absorption"",""type"":""THERAPY""}]","[{""zh"":""消化吸收"",""en"":""digestion and absorption"",""type"":""THERAPY""}]","[{""zh"":""消化吸收"",""en"":""digestion and absorption"",""type"":""THERAPY""}]"
TCM_TRAIN_0131,train,肝与胆共同参与胆汁疏泄。,The liver and gallbladder jointly participate in the free flow of bile.,3,2,2,"[{""zh"":""肝胆"",""en"":""liver and gallbladder"",""type"":""CONCEPT""},{""zh"":""胆汁"",""en"":""bile"",""type"":""FLUID""},{""zh"":""疏泄"",""en"":""free flow"",""type"":""FUNCTION""}]","[{""zh"":""胆汁"",""en"":""bile"",""type"":""FLUID""},{""zh"":""疏泄"",""en"":""free flow"",""type"":""FUNCTION""}]","[{""zh"":""胆汁"",""en"":""bile"",""type"":""FLUID""},{""zh"":""疏泄"",""en"":""free flow"",""type"":""FUNCTION""}]"
TCM_TRAIN_0143,train,暑邪易耗气伤津。,Summer-heat pathogen easily consumes Qi and injures body fluids.,3,2,2,"[{""zh"":""暑邪"",""en"":""summer-heat pathogen"",""type"":""PATHOGEN""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""zh"":""暑邪"",""en"":""summer-heat pathogen"",""type"":""PATHOGEN""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""}]","[{""zh"":""暑邪"",""en"":""summer-heat pathogen"",""type"":""PATHOGEN""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0147,train,火邪易生风动血。,Fire pathogen easily generates wind and stirs blood.,3,3,1,"[{""zh"":""火邪"",""en"":""fire pathogen"",""type"":""PATHOGEN""},{""zh"":""生风"",""en"":""generate wind"",""type"":""PATHOGEN""},{""zh"":""动血"",""en"":""stir blood"",""type"":""SUBSTANCE""}]","[{""zh"":""火邪"",""en"":""fire pathogen"",""type"":""PATHOGEN""},{""zh"":""生风"",""en"":""generate wind"",""type"":""PATHOGEN""},{""zh"":""动血"",""en"":""stir blood"",""type"":""SUBSTANCE""}]","[{""zh"":""火邪"",""en"":""fire pathogen"",""type"":""PATHOGEN""}]"
TCM_TRAIN_0157,train,怒则气上。,Anger makes Qi ascend.,2,2,1,"[{""zh"":""怒"",""en"":""anger"",""type"":""CONCEPT""},{""zh"":""气上"",""en"":""Qi ascends"",""type"":""SUBSTANCE""}]","[{""zh"":""怒"",""en"":""anger"",""type"":""CONCEPT""},{""zh"":""气上"",""en"":""Qi ascends"",""type"":""SUBSTANCE""}]","[{""zh"":""怒"",""en"":""anger"",""type"":""CONCEPT""}]"
TCM_TRAIN_0159,train,恐则气下。,Fear makes Qi descend.,2,2,1,"[{""zh"":""恐"",""en"":""fear"",""type"":""CONCEPT""},{""zh"":""气下"",""en"":""Qi descends"",""type"":""THERAPY""}]","[{""zh"":""恐"",""en"":""fear"",""type"":""CONCEPT""},{""zh"":""气下"",""en"":""Qi descends"",""type"":""THERAPY""}]","[{""zh"":""恐"",""en"":""fear"",""type"":""CONCEPT""}]"
TCM_TRAIN_0233,train,小儿诊断应重视望诊并四诊合参。,Pediatric diagnosis should emphasize inspection and combine all four diagnostic methods.,3,3,2,"[{""zh"":""小儿诊断"",""en"":""pediatric diagnosis"",""type"":""DIAGNOSIS""},{""zh"":""望诊"",""en"":""inspection"",""type"":""DIAGNOSIS""},{""zh"":""四诊合参"",""en"":""combining four diagnostic methods"",""type"":""THERAPY""}]","[{""zh"":""小儿诊断"",""en"":""pediatric diagnosis"",""type"":""DIAGNOSIS""},{""zh"":""望诊"",""en"":""inspection"",""type"":""DIAGNOSIS""},{""zh"":""四诊合参"",""en"":""combining four diagnostic methods"",""type"":""THERAPY""}]","[{""zh"":""小儿诊断"",""en"":""pediatric diagnosis"",""type"":""DIAGNOSIS""},{""zh"":""望诊"",""en"":""inspection"",""type"":""DIAGNOSIS""}]"
TCM_TRAIN_0235,train,表证、热证和实证属阳。,"Exterior, heat and excess syndromes belong to Yang.",4,4,2,"[{""zh"":""表证"",""en"":""exterior syndrome"",""type"":""SYNDROME""},{""zh"":""热证"",""en"":""heat syndrome"",""type"":""SYNDROME""},{""zh"":""实证"",""en"":""excess syndrome"",""type"":""SYNDROME""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""表证"",""en"":""exterior syndrome"",""type"":""SYNDROME""},{""zh"":""热证"",""en"":""heat syndrome"",""type"":""SYNDROME""},{""zh"":""实证"",""en"":""excess syndrome"",""type"":""SYNDROME""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""实证"",""en"":""excess syndrome"",""type"":""SYNDROME""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]"
TCM_TRAIN_0236,train,里证、寒证和虚证属阴。,"Interior, cold and deficiency syndromes belong to Yin.",4,4,2,"[{""zh"":""里证"",""en"":""interior syndrome"",""type"":""SYNDROME""},{""zh"":""寒证"",""en"":""cold syndrome"",""type"":""SYNDROME""},{""zh"":""虚证"",""en"":""deficiency syndrome"",""type"":""SYNDROME""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""里证"",""en"":""interior syndrome"",""type"":""SYNDROME""},{""zh"":""寒证"",""en"":""cold syndrome"",""type"":""SYNDROME""},{""zh"":""虚证"",""en"":""deficiency syndrome"",""type"":""SYNDROME""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""虚证"",""en"":""deficiency syndrome"",""type"":""SYNDROME""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]"
TCM_TRAIN_0238,train,八纲包括阴、阳、表、里、寒、热、虚、实。,"The eight principal syndromes include Yin, Yang, exterior, interior, cold, heat, deficiency and excess.",2,1,1,"[{""zh"":""八纲"",""en"":""eight principal syndromes"",""type"":""SYNDROME""},{""zh"":""阴阳表里寒热虚实"",""en"":""Yin, Yang, exterior, interior, cold, heat, deficiency and excess"",""type"":""PATHOGEN""}]","[{""zh"":""八纲"",""en"":""eight principal syndromes"",""type"":""SYNDROME""}]","[{""zh"":""八纲"",""en"":""eight principal syndromes"",""type"":""SYNDROME""}]"
TCM_TRAIN_0239,train,八纲辨证归纳病变的部位和性质。,Differentiation by the eight principal syndromes summarizes location and nature of pathological changes.,3,2,1,"[{""zh"":""八纲辨证"",""en"":""differentiation by eight principal syndromes"",""type"":""SYNDROME""},{""zh"":""病位"",""en"":""location"",""type"":""CONCEPT""},{""zh"":""性质"",""en"":""nature"",""type"":""CONCEPT""}]","[{""zh"":""八纲辨证"",""en"":""differentiation by eight principal syndromes"",""type"":""SYNDROME""},{""zh"":""性质"",""en"":""nature"",""type"":""CONCEPT""}]","[{""zh"":""性质"",""en"":""nature"",""type"":""CONCEPT""}]"
TCM_TRAIN_0240,train,表里辨证辨别病变部位和病势趋向。,Exterior-interior differentiation identifies disease location and tendency.,3,3,2,"[{""zh"":""表里辨证"",""en"":""exterior-interior differentiation"",""type"":""SYNDROME""},{""zh"":""病变部位"",""en"":""disease location"",""type"":""DISEASE""},{""zh"":""病势趋向"",""en"":""disease tendency"",""type"":""DISEASE""}]","[{""zh"":""表里辨证"",""en"":""exterior-interior differentiation"",""type"":""SYNDROME""},{""zh"":""病变部位"",""en"":""disease location"",""type"":""DISEASE""},{""zh"":""病势趋向"",""en"":""disease tendency"",""type"":""DISEASE""}]","[{""zh"":""表里辨证"",""en"":""exterior-interior differentiation"",""type"":""SYNDROME""},{""zh"":""病变部位"",""en"":""disease location"",""type"":""DISEASE""}]"
TCM_TRAIN_0271,train,三阳病包括太阳病、阳明病和少阳病。,"Diseases of the three Yang channels include Taiyang, Yangming and Shaoyang diseases.",3,3,0,"[{""zh"":""三阳病"",""en"":""diseases of three Yang channels"",""type"":""DISEASE""},{""zh"":""太阳病"",""en"":""Taiyang disease"",""type"":""DISEASE""},{""zh"":""阳明病"",""en"":""Yangming disease"",""type"":""DISEASE""}]","[{""zh"":""三阳病"",""en"":""diseases of three Yang channels"",""type"":""DISEASE""},{""zh"":""太阳病"",""en"":""Taiyang disease"",""type"":""DISEASE""},{""zh"":""阳明病"",""en"":""Yangming disease"",""type"":""DISEASE""}]",[]
TCM_TRAIN_0272,train,三阴病包括太阴病、少阴病和厥阴病。,"Diseases of the three Yin channels include Taiyin, Shaoyin and Jueyin diseases.",3,3,0,"[{""zh"":""三阴病"",""en"":""diseases of three Yin channels"",""type"":""DISEASE""},{""zh"":""太阴病"",""en"":""Taiyin disease"",""type"":""DISEASE""},{""zh"":""少阴病"",""en"":""Shaoyin disease"",""type"":""DISEASE""}]","[{""zh"":""三阴病"",""en"":""diseases of three Yin channels"",""type"":""DISEASE""},{""zh"":""太阴病"",""en"":""Taiyin disease"",""type"":""DISEASE""},{""zh"":""少阴病"",""en"":""Shaoyin disease"",""type"":""DISEASE""}]",[]
TCM_TRAIN_0283,train,气分证反映温热病邪由表入里。,Qi-level syndrome reflects warm-heat pathogens moving from the exterior to the interior.,3,2,2,"[{""zh"":""气分证"",""en"":""Qi-level syndrome"",""type"":""SYNDROME""},{""zh"":""温热病邪"",""en"":""warm-heat pathogens"",""type"":""THERAPY""},{""zh"":""表里"",""en"":""exterior and interior"",""type"":""DIAGNOSIS""}]","[{""zh"":""气分证"",""en"":""Qi-level syndrome"",""type"":""SYNDROME""},{""zh"":""温热病邪"",""en"":""warm-heat pathogens"",""type"":""THERAPY""}]","[{""zh"":""气分证"",""en"":""Qi-level syndrome"",""type"":""SYNDROME""},{""zh"":""温热病邪"",""en"":""warm-heat pathogens"",""type"":""THERAPY""}]"
TCM_TRAIN_0292,train,经络沟通表里上下。,Meridians link the exterior with the interior and the upper with the lower.,3,3,1,"[{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""},{""zh"":""表里"",""en"":""exterior and interior"",""type"":""DIAGNOSIS""},{""zh"":""上下"",""en"":""upper and lower"",""type"":""THERAPY""}]","[{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""},{""zh"":""表里"",""en"":""exterior and interior"",""type"":""DIAGNOSIS""},{""zh"":""上下"",""en"":""upper and lower"",""type"":""THERAPY""}]","[{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]"
