id,split,zh,en,text_type,term_count,entities,source_status,note,entities_gold,entities_model,entities_eval,term_count_gold,term_count_model,term_count_eval
TCM_TRAIN_0011,train,阴阳双方在一定条件下可以互相转化。,Yin and Yang can transform into each other under given conditions.,01_core_tcm_theory,2,"[{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴阳转化"",""en"":""transformation of Yin and Yang"",""type"":""THERAPY""},{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]","[{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]","[{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]",2,1,1
TCM_TRAIN_0012,train,人体内部充满阴阳对立统一的关系。,The human body is permeated with the unity of opposites between Yin and Yang.,01_core_tcm_theory,3,"[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立统一"",""en"":""unity of opposites"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立统一"",""en"":""unity of opposites"",""type"":""CONCEPT""}]","[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立统一"",""en"":""unity of opposites"",""type"":""CONCEPT""}]","[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立统一"",""en"":""unity of opposites"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0013,train,五脏藏精气，故属阴。,"The five Zang-organs store essence and Qi, so they pertain to Yin.",01_core_tcm_theory,3,"[{""zh"":""五脏"",""en"":""five Zang-organs"",""type"":""ORGAN_GROUP""},{""zh"":""精气"",""en"":""essence and Qi"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""五脏"",""en"":""five Zang-organs"",""type"":""ORGAN_GROUP""},{""zh"":""精气"",""en"":""essence and Qi"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""五脏"",""en"":""five Zang-organs"",""type"":""ORGAN_GROUP""},{""zh"":""精气"",""en"":""essence and Qi"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""五脏"",""en"":""five Zang-organs"",""type"":""ORGAN_GROUP""},{""zh"":""精气"",""en"":""essence and Qi"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0014,train,六腑传化物，故属阳。,"The six Fu-organs transport and transform substances, so they pertain to Yang.",01_core_tcm_theory,3,"[{""zh"":""六腑"",""en"":""six Fu-organs"",""type"":""ORGAN_GROUP""},{""zh"":""传化物"",""en"":""transport and transform substances"",""type"":""THERAPY""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""六腑"",""en"":""six Fu-organs"",""type"":""ORGAN_GROUP""},{""zh"":""传化物"",""en"":""transport and transform substances"",""type"":""THERAPY""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""六腑"",""en"":""six Fu-organs"",""type"":""ORGAN_GROUP""},{""zh"":""传化物"",""en"":""transport and transform substances"",""type"":""THERAPY""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""六腑"",""en"":""six Fu-organs"",""type"":""ORGAN_GROUP""},{""zh"":""传化物"",""en"":""transport and transform substances"",""type"":""THERAPY""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0015,train,阴阳的动态平衡是人体健康的标志。,Dynamic equilibrium between Yin and Yang is indicative of human health.,01_core_tcm_theory,3,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""动态平衡"",""en"":""dynamic equilibrium"",""type"":""CONCEPT""},{""zh"":""健康"",""en"":""health"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""动态平衡"",""en"":""dynamic equilibrium"",""type"":""CONCEPT""},{""zh"":""健康"",""en"":""health"",""type"":""CONCEPT""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""动态平衡"",""en"":""dynamic equilibrium"",""type"":""CONCEPT""},{""zh"":""健康"",""en"":""health"",""type"":""CONCEPT""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""动态平衡"",""en"":""dynamic equilibrium"",""type"":""CONCEPT""},{""zh"":""健康"",""en"":""health"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0016,train,阳偏胜必然伤阴。,Excessive Yang will certainly impair Yin.,01_core_tcm_theory,2,"[{""zh"":""阳偏胜"",""en"":""excessive Yang"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阳偏胜"",""en"":""excessive Yang"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""阳偏胜"",""en"":""excessive Yang"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""zh"":""阳偏胜"",""en"":""excessive Yang"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]",2,2,2
TCM_TRAIN_0017,train,阴偏胜必然伤阳。,Excessive Yin will certainly injure Yang.,01_core_tcm_theory,2,"[{""zh"":""阴偏胜"",""en"":""excessive Yin"",""type"":""SUBSTANCE""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴偏胜"",""en"":""excessive Yin"",""type"":""SUBSTANCE""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""阴偏胜"",""en"":""excessive Yin"",""type"":""SUBSTANCE""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""zh"":""阴偏胜"",""en"":""excessive Yin"",""type"":""SUBSTANCE""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]",2,2,2
TCM_TRAIN_0018,train,阴虚不能制约阳，故出现虚热证。,"When Yin is deficient, it cannot restrain Yang, leading to deficiency heat syndrome.",01_core_tcm_theory,3,"[{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴虚"",""en"":""Yin deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阴虚"",""en"":""Yin deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]",3,3,2
TCM_TRAIN_0019,train,阳虚不能制约阴，故出现虚寒证。,"When Yang is deficient, it cannot restrain Yin, leading to deficiency cold syndrome.",01_core_tcm_theory,3,"[{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阳虚"",""en"":""Yang deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阳虚"",""en"":""Yang deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]",3,3,2
TCM_TRAIN_0020,train,五行学说以相生相克解释事物之间的联系。,The Five-element doctrine explains connections between things through generation and restriction.,01_core_tcm_theory,3,"[{""zh"":""五行学说"",""en"":""Five-element doctrine"",""type"":""CONCEPT""},{""zh"":""相生"",""en"":""generation"",""type"":""CONCEPT""},{""zh"":""相克"",""en"":""restriction"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""五行学说"",""en"":""Five-element doctrine"",""type"":""CONCEPT""},{""zh"":""相生"",""en"":""generation"",""type"":""CONCEPT""},{""zh"":""相克"",""en"":""restriction"",""type"":""CONCEPT""}]","[{""zh"":""五行学说"",""en"":""Five-element doctrine"",""type"":""CONCEPT""},{""zh"":""相生"",""en"":""generation"",""type"":""CONCEPT""},{""zh"":""相克"",""en"":""restriction"",""type"":""CONCEPT""}]","[{""zh"":""五行学说"",""en"":""Five-element doctrine"",""type"":""CONCEPT""},{""zh"":""相生"",""en"":""generation"",""type"":""CONCEPT""},{""zh"":""相克"",""en"":""restriction"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0021,train,心主血脉。,The heart govern blood and vessels.,02_qi_blood_body_fluid,2,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""主血脉"",""en"":""govern blood and vessels"",""type"":""FUNCTION""}]",user_approved_candidate,Zang-Fu function; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""主血脉"",""en"":""govern blood and vessels"",""type"":""FUNCTION""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""主血脉"",""en"":""govern blood and vessels"",""type"":""FUNCTION""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""主血脉"",""en"":""govern blood and vessels"",""type"":""FUNCTION""}]",2,2,2
TCM_TRAIN_0022,train,心气充足可以维持心的正常功能。,Sufficient heart-Qi can maintain the normal function of the heart.,02_qi_blood_body_fluid,3,"[{""zh"":""心气"",""en"":""heart-Qi"",""type"":""DIAGNOSIS""},{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]",user_approved_candidate,Zang-Fu function; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""心气"",""en"":""heart-Qi"",""type"":""DIAGNOSIS""},{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]","[{""zh"":""心气"",""en"":""heart-Qi"",""type"":""DIAGNOSIS""},{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]","[{""zh"":""心气"",""en"":""heart-Qi"",""type"":""DIAGNOSIS""},{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0023,train,心的功能状态可以反映于心神。,The functional state of the heart can be reflected in the mind.,02_qi_blood_body_fluid,3,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""心神"",""en"":""mind"",""type"":""DIAGNOSIS""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]",user_approved_candidate,Zang-Fu manifestation; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""心神"",""en"":""mind"",""type"":""DIAGNOSIS""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""心神"",""en"":""mind"",""type"":""DIAGNOSIS""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""心神"",""en"":""mind"",""type"":""DIAGNOSIS""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0024,train,心开窍于舌。,The heart open into the tongue.,02_qi_blood_body_fluid,3,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""舌"",""en"":""tongue"",""type"":""DIAGNOSIS""},{""zh"":""开窍"",""en"":""open into"",""type"":""TISSUE""}]",user_approved_candidate,Zang-Fu orifice; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""舌"",""en"":""tongue"",""type"":""DIAGNOSIS""},{""zh"":""开窍"",""en"":""open into"",""type"":""TISSUE""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""舌"",""en"":""tongue"",""type"":""DIAGNOSIS""},{""zh"":""开窍"",""en"":""open into"",""type"":""TISSUE""}]","[{""zh"":""心"",""en"":""heart"",""type"":""ORGAN""},{""zh"":""舌"",""en"":""tongue"",""type"":""DIAGNOSIS""},{""zh"":""开窍"",""en"":""open into"",""type"":""TISSUE""}]",3,3,3
TCM_TRAIN_0025,train,肺主气和呼吸。,The lungs govern Qi and respiration.,02_qi_blood_body_fluid,2,"[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""主气和呼吸"",""en"":""govern Qi and respiration"",""type"":""THERAPY""}]",user_approved_candidate,Zang-Fu function; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""主气和呼吸"",""en"":""govern Qi and respiration"",""type"":""THERAPY""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""主气和呼吸"",""en"":""govern Qi and respiration"",""type"":""THERAPY""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""主气和呼吸"",""en"":""govern Qi and respiration"",""type"":""THERAPY""}]",2,2,2
TCM_TRAIN_0026,train,肺气充足可以维持肺的正常功能。,Sufficient lung-Qi can maintain the normal function of the lungs.,02_qi_blood_body_fluid,3,"[{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]",user_approved_candidate,Zang-Fu function; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]","[{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]","[{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""正常功能"",""en"":""normal function"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0027,train,肺的功能状态可以反映于皮毛。,The functional state of the lungs can be reflected in the skin and hair.,02_qi_blood_body_fluid,3,"[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""皮毛"",""en"":""skin and hair"",""type"":""TISSUE""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]",user_approved_candidate,Zang-Fu manifestation; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""皮毛"",""en"":""skin and hair"",""type"":""TISSUE""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""皮毛"",""en"":""skin and hair"",""type"":""TISSUE""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""皮毛"",""en"":""skin and hair"",""type"":""TISSUE""},{""zh"":""功能状态"",""en"":""functional state"",""type"":""CONCEPT""}]",3,3,3
