id,split,tokens_json,labels_json,zh,span_count,char_count
TCM_TRAIN_0011,train,"[""阴"",""阳"",""双"",""方"",""在"",""一"",""定"",""条"",""件"",""下"",""可"",""以"",""互"",""相"",""转"",""化"",""。""]","[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]",阴阳双方在一定条件下可以互相转化。,1,17
TCM_TRAIN_0012,train,"[""人"",""体"",""内"",""部"",""充"",""满"",""阴"",""阳"",""对"",""立"",""统"",""一"",""的"",""关"",""系"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]",人体内部充满阴阳对立统一的关系。,3,16
TCM_TRAIN_0013,train,"[""五"",""脏"",""藏"",""精"",""气"",""，"",""故"",""属"",""阴"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]",五脏藏精气，故属阴。,3,10
TCM_TRAIN_0014,train,"[""六"",""腑"",""传"",""化"",""物"",""，"",""故"",""属"",""阳"",""。""]","[""B-ORGAN"",""I-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]",六腑传化物，故属阳。,3,10
TCM_TRAIN_0015,train,"[""阴"",""阳"",""的"",""动"",""态"",""平"",""衡"",""是"",""人"",""体"",""健"",""康"",""的"",""标"",""志"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]",阴阳的动态平衡是人体健康的标志。,3,16
TCM_TRAIN_0016,train,"[""阳"",""偏"",""胜"",""必"",""然"",""伤"",""阴"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]",阳偏胜必然伤阴。,2,8
TCM_TRAIN_0017,train,"[""阴"",""偏"",""胜"",""必"",""然"",""伤"",""阳"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]",阴偏胜必然伤阳。,2,8
TCM_TRAIN_0018,train,"[""阴"",""虚"",""不"",""能"",""制"",""约"",""阳"",""，"",""故"",""出"",""现"",""虚"",""热"",""证"",""。""]","[""B-SYNDROME"",""I-SYNDROME"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""O"",""O"",""O"",""O"",""B-SYNDROME"",""I-SYNDROME"",""I-SYNDROME"",""O""]",阴虚不能制约阳，故出现虚热证。,3,15
TCM_TRAIN_0019,train,"[""阳"",""虚"",""不"",""能"",""制"",""约"",""阴"",""，"",""故"",""出"",""现"",""虚"",""寒"",""证"",""。""]","[""B-SYNDROME"",""I-SYNDROME"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""O"",""O"",""O"",""O"",""B-SYNDROME"",""I-SYNDROME"",""I-SYNDROME"",""O""]",阳虚不能制约阴，故出现虚寒证。,3,15
TCM_TRAIN_0020,train,"[""五"",""行"",""学"",""说"",""以"",""相"",""生"",""相"",""克"",""解"",""释"",""事"",""物"",""之"",""间"",""的"",""联"",""系"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]",五行学说以相生相克解释事物之间的联系。,3,19
TCM_TRAIN_0021,train,"[""心"",""主"",""血"",""脉"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",心主血脉。,2,5
TCM_TRAIN_0022,train,"[""心"",""气"",""充"",""足"",""可"",""以"",""维"",""持"",""心"",""的"",""正"",""常"",""功"",""能"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",心气充足可以维持心的正常功能。,3,15
TCM_TRAIN_0023,train,"[""心"",""的"",""功"",""能"",""状"",""态"",""可"",""以"",""反"",""映"",""于"",""心"",""神"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]",心的功能状态可以反映于心神。,3,14
TCM_TRAIN_0024,train,"[""心"",""开"",""窍"",""于"",""舌"",""。""]","[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]",心开窍于舌。,3,6
TCM_TRAIN_0025,train,"[""肺"",""主"",""气"",""和"",""呼"",""吸"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肺主气和呼吸。,2,7
TCM_TRAIN_0026,train,"[""肺"",""气"",""充"",""足"",""可"",""以"",""维"",""持"",""肺"",""的"",""正"",""常"",""功"",""能"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肺气充足可以维持肺的正常功能。,3,15
TCM_TRAIN_0027,train,"[""肺"",""的"",""功"",""能"",""状"",""态"",""可"",""以"",""反"",""映"",""于"",""皮"",""毛"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]",肺的功能状态可以反映于皮毛。,3,14
TCM_TRAIN_0028,train,"[""肺"",""开"",""窍"",""于"",""鼻"",""。""]","[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]",肺开窍于鼻。,3,6
TCM_TRAIN_0029,train,"[""脾"",""主"",""运"",""化"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",脾主运化。,2,5
TCM_TRAIN_0030,train,"[""脾"",""气"",""充"",""足"",""可"",""以"",""维"",""持"",""脾"",""的"",""正"",""常"",""功"",""能"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",脾气充足可以维持脾的正常功能。,3,15
TCM_TRAIN_0031,train,"[""脾"",""的"",""功"",""能"",""状"",""态"",""可"",""以"",""反"",""映"",""于"",""肌"",""肉"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]",脾的功能状态可以反映于肌肉。,3,14
TCM_TRAIN_0032,train,"[""脾"",""开"",""窍"",""于"",""口"",""。""]","[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]",脾开窍于口。,3,6
TCM_TRAIN_0033,train,"[""肝"",""主"",""疏"",""泄"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肝主疏泄。,2,5
TCM_TRAIN_0034,train,"[""肝"",""气"",""充"",""足"",""可"",""以"",""维"",""持"",""肝"",""的"",""正"",""常"",""功"",""能"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肝气充足可以维持肝的正常功能。,3,15
TCM_TRAIN_0035,train,"[""肝"",""的"",""功"",""能"",""状"",""态"",""可"",""以"",""反"",""映"",""于"",""筋"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O""]",肝的功能状态可以反映于筋。,3,13
TCM_TRAIN_0036,train,"[""肝"",""开"",""窍"",""于"",""目"",""。""]","[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]",肝开窍于目。,3,6
TCM_TRAIN_0037,train,"[""肾"",""主"",""精"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O""]",肾主精。,2,4
TCM_TRAIN_0038,train,"[""肾"",""气"",""充"",""足"",""可"",""以"",""维"",""持"",""肾"",""的"",""正"",""常"",""功"",""能"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肾气充足可以维持肾的正常功能。,3,15
TCM_TRAIN_0039,train,"[""肾"",""的"",""功"",""能"",""状"",""态"",""可"",""以"",""反"",""映"",""于"",""骨"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O""]",肾的功能状态可以反映于骨。,3,13
TCM_TRAIN_0040,train,"[""肾"",""开"",""窍"",""于"",""耳"",""。""]","[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]",肾开窍于耳。,3,6
TCM_TRAIN_0041,train,"[""藏"",""象"",""学"",""说"",""研"",""究"",""脏"",""腑"",""的"",""生"",""理"",""功"",""能"",""和"",""病"",""理"",""变"",""化"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",藏象学说研究脏腑的生理功能和病理变化。,3,19
TCM_TRAIN_0042,train,"[""五"",""脏"",""化"",""生"",""并"",""贮"",""藏"",""精"",""气"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O""]",五脏化生并贮藏精气。,3,10
TCM_TRAIN_0043,train,"[""六"",""腑"",""受"",""纳"",""、"",""传"",""化"",""水"",""谷"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O""]",六腑受纳、传化水谷。,3,10
TCM_TRAIN_0044,train,"[""奇"",""恒"",""之"",""腑"",""贮"",""藏"",""精"",""气"",""而"",""不"",""传"",""化"",""水"",""谷"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",奇恒之腑贮藏精气而不传化水谷。,3,15
TCM_TRAIN_0045,train,"[""心"",""气"",""推"",""动"",""血"",""液"",""在"",""脉"",""中"",""运"",""行"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-ORGAN"",""O"",""O"",""O"",""O""]",心气推动血液在脉中运行。,3,12
TCM_TRAIN_0046,train,"[""心"",""神"",""以"",""气"",""血"",""为"",""物"",""质"",""基"",""础"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",心神以气血为物质基础。,3,11
TCM_TRAIN_0047,train,"[""肺"",""宣"",""发"",""卫"",""气"",""以"",""调"",""节"",""腠"",""理"",""开"",""合"",""。""]","[""B-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O""]",肺宣发卫气以调节腠理开合。,3,13
TCM_TRAIN_0048,train,"[""肺"",""肃"",""降"",""功"",""能"",""使"",""肺"",""气"",""向"",""下"",""运"",""行"",""。""]","[""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肺肃降功能使肺气向下运行。,3,13
TCM_TRAIN_0049,train,"[""肺"",""通"",""过"",""宣"",""发"",""肃"",""降"",""参"",""与"",""水"",""液"",""代"",""谢"",""。""]","[""B-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肺通过宣发肃降参与水液代谢。,3,14
TCM_TRAIN_0050,train,"[""脾"",""运"",""化"",""水"",""谷"",""以"",""化"",""生"",""气"",""血"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",脾运化水谷以化生气血。,3,11
TCM_TRAIN_0051,train,"[""脾"",""主"",""升"",""清"",""，"",""将"",""精"",""微"",""上"",""输"",""心"",""肺"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",脾主升清，将精微上输心肺。,3,13
TCM_TRAIN_0052,train,"[""脾"",""气"",""统"",""摄"",""血"",""液"",""使"",""其"",""循"",""行"",""脉"",""中"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""O""]",脾气统摄血液使其循行脉中。,3,13
TCM_TRAIN_0053,train,"[""肝"",""主"",""疏"",""泄"",""以"",""调"",""畅"",""气"",""机"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",肝主疏泄以调畅气机。,3,10
TCM_TRAIN_0054,train,"[""肝"",""藏"",""血"",""以"",""调"",""节"",""血"",""量"",""。""]","[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",肝藏血以调节血量。,3,9
TCM_TRAIN_0055,train,"[""肾"",""精"",""充"",""足"",""可"",""以"",""促"",""进"",""生"",""长"",""发"",""育"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肾精充足可以促进生长发育。,2,13
TCM_TRAIN_0056,train,"[""肾"",""藏"",""先"",""天"",""之"",""精"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",肾藏先天之精。,2,7
TCM_TRAIN_0057,train,"[""肾"",""精"",""化"",""生"",""肾"",""气"",""。""]","[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]",肾精化生肾气。,2,7
TCM_TRAIN_0058,train,"[""肾"",""主"",""骨"",""，"",""生"",""髓"",""。""]","[""B-ORGAN"",""O"",""B-ORGAN"",""O"",""O"",""B-ORGAN"",""O""]",肾主骨，生髓。,3,7
TCM_TRAIN_0059,train,"[""脑"",""为"",""髓"",""之"",""海"",""。""]","[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",脑为髓之海。,2,6
TCM_TRAIN_0060,train,"[""肝"",""肾"",""同"",""源"",""说"",""明"",""肝"",""血"",""与"",""肾"",""精"",""相"",""互"",""滋"",""生"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O""]",肝肾同源说明肝血与肾精相互滋生。,3,16
TCM_TRAIN_0061,train,"[""木"",""能"",""生"",""火"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",木能生火。,3,5
TCM_TRAIN_0062,train,"[""火"",""能"",""生"",""土"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",火能生土。,3,5
TCM_TRAIN_0063,train,"[""土"",""能"",""生"",""金"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",土能生金。,3,5
TCM_TRAIN_0064,train,"[""金"",""能"",""生"",""水"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",金能生水。,3,5
TCM_TRAIN_0065,train,"[""水"",""能"",""生"",""木"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",水能生木。,3,5
TCM_TRAIN_0066,train,"[""木"",""能"",""克"",""土"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",木能克土。,3,5
TCM_TRAIN_0067,train,"[""土"",""能"",""克"",""水"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",土能克水。,3,5
TCM_TRAIN_0068,train,"[""水"",""能"",""克"",""火"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",水能克火。,3,5
TCM_TRAIN_0069,train,"[""火"",""能"",""克"",""金"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",火能克金。,3,5
TCM_TRAIN_0070,train,"[""金"",""能"",""克"",""木"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]",金能克木。,3,5
TCM_TRAIN_0071,train,"[""五"",""行"",""相"",""生"",""说"",""明"",""一"",""事"",""物"",""能"",""促"",""进"",""另"",""一"",""事"",""物"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O""]",五行相生说明一事物能促进另一事物。,2,17
TCM_TRAIN_0072,train,"[""五"",""行"",""相"",""克"",""说"",""明"",""一"",""事"",""物"",""能"",""制"",""约"",""另"",""一"",""事"",""物"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O""]",五行相克说明一事物能制约另一事物。,2,17
TCM_TRAIN_0073,train,"[""五"",""行"",""学"",""说"",""说"",""明"",""人"",""体"",""脏"",""腑"",""的"",""属"",""性"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",五行学说说明人体脏腑的属性。,3,14
TCM_TRAIN_0074,train,"[""五"",""行"",""学"",""说"",""说"",""明"",""脏"",""腑"",""之"",""间"",""的"",""相"",""互"",""关"",""系"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",五行学说说明脏腑之间的相互关系。,3,16
TCM_TRAIN_0075,train,"[""五"",""行"",""学"",""说"",""说"",""明"",""脏"",""腑"",""的"",""病"",""理"",""变"",""化"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",五行学说说明脏腑的病理变化。,3,14
TCM_TRAIN_0076,train,"[""气"",""推"",""动"",""人"",""体"",""的"",""生"",""长"",""发"",""育"",""。""]","[""B-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",气推动人体的生长发育。,2,11
TCM_TRAIN_0077,train,"[""气"",""推"",""动"",""脏"",""腑"",""和"",""经"",""络"",""的"",""生"",""理"",""活"",""动"",""。""]","[""B-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O""]",气推动脏腑和经络的生理活动。,3,14
TCM_TRAIN_0078,train,"[""气"",""推"",""动"",""血"",""液"",""的"",""生"",""成"",""和"",""运"",""行"",""。""]","[""B-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",气推动血液的生成和运行。,3,12
TCM_TRAIN_0079,train,"[""气"",""促"",""进"",""津"",""液"",""的"",""生"",""成"",""、"",""分"",""布"",""和"",""排"",""泄"",""。""]","[""B-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]",气促进津液的生成、分布和排泄。,3,15
TCM_TRAIN_0080,train,"[""气"",""的"",""温"",""煦"",""作"",""用"",""维"",""持"",""人"",""体"",""体"",""温"",""恒"",""定"",""。""]","[""B-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O""]",气的温煦作用维持人体体温恒定。,3,15
