id,split,zh,term_count_gold,bio_span_count,gap,reason,entities_gold,bio_spans_json
TCM_TRAIN_0100,train,气能行津。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""行津"",""en"":""promote movement"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""行津"",""type"":""CONCEPT""}]"
TCM_TRAIN_0101,train,气能摄津。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""摄津"",""en"":""control body fluids"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""摄津"",""type"":""CONCEPT""}]"
TCM_TRAIN_0102,train,津液能载气。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""载气"",""en"":""carry Qi"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":2,""text"":""津液"",""type"":""CONCEPT""},{""start"":3,""end"":5,""text"":""载气"",""type"":""CONCEPT""}]"
TCM_TRAIN_0105,train,精可以化气。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""精"",""en"":""essence"",""type"":""SUBSTANCE""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""化气"",""en"":""transform into Qi"",""type"":""THERAPY""}]","[{""start"":0,""end"":1,""text"":""精"",""type"":""CONCEPT""},{""start"":3,""end"":5,""text"":""化气"",""type"":""CONCEPT""}]"
TCM_TRAIN_0106,train,气可以生精。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""精"",""en"":""essence"",""type"":""SUBSTANCE""},{""zh"":""生精"",""en"":""generate essence"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":3,""end"":5,""text"":""生精"",""type"":""CONCEPT""}]"
TCM_TRAIN_0130,train,脾与胃共同完成饮食物的消化吸收。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""脾胃"",""en"":""spleen and stomach"",""type"":""DIAGNOSIS""},{""zh"":""消化吸收"",""en"":""digestion and absorption"",""type"":""THERAPY""}]","[{""start"":11,""end"":15,""text"":""消化吸收"",""type"":""CONCEPT""}]"
TCM_TRAIN_0131,train,肝与胆共同参与胆汁疏泄。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""肝胆"",""en"":""liver and gallbladder"",""type"":""CONCEPT""},{""zh"":""胆汁"",""en"":""bile"",""type"":""FLUID""},{""zh"":""疏泄"",""en"":""free flow"",""type"":""FUNCTION""}]","[{""start"":7,""end"":9,""text"":""胆汁"",""type"":""CONCEPT""},{""start"":9,""end"":11,""text"":""疏泄"",""type"":""CONCEPT""}]"
TCM_TRAIN_0143,train,暑邪易耗气伤津。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""暑邪"",""en"":""summer-heat pathogen"",""type"":""PATHOGEN""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":2,""text"":""暑邪"",""type"":""CONCEPT""},{""start"":4,""end"":5,""text"":""气"",""type"":""CONCEPT""}]"
TCM_TRAIN_0238,train,八纲包括阴、阳、表、里、寒、热、虚、实。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""八纲"",""en"":""eight principal syndromes"",""type"":""SYNDROME""},{""zh"":""阴阳表里寒热虚实"",""en"":""Yin, Yang, exterior, interior, cold, heat, deficiency and excess"",""type"":""PATHOGEN""}]","[{""start"":0,""end"":2,""text"":""八纲"",""type"":""CONCEPT""}]"
TCM_TRAIN_0239,train,八纲辨证归纳病变的部位和性质。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""八纲辨证"",""en"":""differentiation by eight principal syndromes"",""type"":""SYNDROME""},{""zh"":""病位"",""en"":""location"",""type"":""CONCEPT""},{""zh"":""性质"",""en"":""nature"",""type"":""CONCEPT""}]","[{""start"":0,""end"":4,""text"":""八纲辨证"",""type"":""SYNDROME""},{""start"":12,""end"":14,""text"":""性质"",""type"":""CONCEPT""}]"
TCM_TRAIN_0283,train,气分证反映温热病邪由表入里。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气分证"",""en"":""Qi-level syndrome"",""type"":""SYNDROME""},{""zh"":""温热病邪"",""en"":""warm-heat pathogens"",""type"":""THERAPY""},{""zh"":""表里"",""en"":""exterior and interior"",""type"":""DIAGNOSIS""}]","[{""start"":0,""end"":3,""text"":""气分证"",""type"":""SYNDROME""},{""start"":5,""end"":9,""text"":""温热病邪"",""type"":""CONCEPT""}]"
TCM_TRAIN_0328,train,中医学根据气、味和升降浮沉辨别药物性能。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""药物性能"",""en"":""medicinal properties"",""type"":""CONCEPT""},{""zh"":""气味"",""en"":""nature and taste"",""type"":""DIAGNOSIS""},{""zh"":""升降浮沉"",""en"":""lifting, lowering, floating and sinking"",""type"":""CONCEPT""}]","[{""start"":9,""end"":13,""text"":""升降浮沉"",""type"":""CONCEPT""},{""start"":15,""end"":19,""text"":""药物性能"",""type"":""CONCEPT""}]"
TCM_TRAIN_0329,train,四气指寒、热、温、凉四种药性。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""四气"",""en"":""four Qi"",""type"":""SUBSTANCE""},{""zh"":""寒热温凉"",""en"":""cold, hot, warm and cool"",""type"":""THERAPY""},{""zh"":""药性"",""en"":""medicinal properties"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""四气"",""type"":""CONCEPT""},{""start"":12,""end"":14,""text"":""药性"",""type"":""CONCEPT""}]"
TCM_TRAIN_0334,train,五味包括辛、甘、酸、苦、咸。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""五味"",""en"":""five tastes"",""type"":""CONCEPT""},{""zh"":""辛甘酸苦咸"",""en"":""acrid, sweet, sour, bitter and salty"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""五味"",""type"":""CONCEPT""}]"
TCM_TRAIN_0348,train,相须是性能相似药物的协同配伍。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""相须"",""en"":""mutual reinforcement"",""type"":""CONCEPT""},{""zh"":""药物性能"",""en"":""medicinal properties"",""type"":""CONCEPT""},{""zh"":""配伍"",""en"":""combined use"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""相须"",""type"":""CONCEPT""},{""start"":12,""end"":14,""text"":""配伍"",""type"":""CONCEPT""}]"
TCM_TRAIN_0349,train,相使是一药为主、另一药为辅的配伍。,3,1,2,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""相使"",""en"":""mutual assistance"",""type"":""CONCEPT""},{""zh"":""主药"",""en"":""main medicinal"",""type"":""CONCEPT""},{""zh"":""辅药"",""en"":""assisting medicinal"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""相使"",""type"":""CONCEPT""}]"
TCM_TRAIN_0362,train,炮制可以降低某些药物的毒性。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""炮制"",""en"":""processing"",""type"":""CONCEPT""},{""zh"":""药物毒性"",""en"":""medicinal toxicity"",""type"":""PATHOGEN""}]","[{""start"":0,""end"":2,""text"":""炮制"",""type"":""CONCEPT""}]"
TCM_TRAIN_0363,train,炮制可以改变药物的性能。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""炮制"",""en"":""processing"",""type"":""CONCEPT""},{""zh"":""药物性能"",""en"":""medicinal properties"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""炮制"",""type"":""CONCEPT""}]"
TCM_TRAIN_0751,train,痰邪所致之肿多表现为有块。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""痰邪"",""en"":""phlegm pathogen"",""type"":""DIAGNOSIS""},{""zh"":""肿"",""en"":""swelling"",""type"":""SYMPTOM""},{""zh"":""肿块"",""en"":""mass"",""type"":""SYMPTOM""}]","[{""start"":0,""end"":2,""text"":""痰邪"",""type"":""CONCEPT""},{""start"":5,""end"":6,""text"":""肿"",""type"":""SYMPTOM""}]"
TCM_TRAIN_0761,train,痒由风、湿、热、虫等邪客于肤表而成。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""痒"",""en"":""pruritus"",""type"":""SYMPTOM""},{""zh"":""风湿热虫"",""en"":""wind, dampness, heat and insects"",""type"":""PATHOGEN""},{""zh"":""肤表"",""en"":""skin surface"",""type"":""LOCATION""}]","[{""start"":0,""end"":1,""text"":""痒"",""type"":""SYMPTOM""},{""start"":13,""end"":15,""text"":""肤表"",""type"":""CONCEPT""}]"
TCM_DEV_0013,dev,脾虚不运容易形成湿浊。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""脾虚"",""en"":""spleen deficiency"",""type"":""DIAGNOSIS""},{""zh"":""运化"",""en"":""transportation"",""type"":""FUNCTION""},{""zh"":""湿浊"",""en"":""damp turbidity"",""type"":""DIAGNOSIS""}]","[{""start"":0,""end"":2,""text"":""脾虚"",""type"":""CONCEPT""},{""start"":8,""end"":10,""text"":""湿浊"",""type"":""CONCEPT""}]"
TCM_DEV_0026,dev,卫分受邪多表现为表热证。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""卫分"",""en"":""defense level"",""type"":""PATHOGENESIS""},{""zh"":""表热证"",""en"":""exterior heat syndrome"",""type"":""SYNDROME""},{""zh"":""病邪"",""en"":""pathogens"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":2,""text"":""卫分"",""type"":""CONCEPT""},{""start"":8,""end"":11,""text"":""表热证"",""type"":""SYNDROME""}]"
TCM_DEV_0052,dev,气为血之帅。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""血之帅"",""en"":""commander of blood"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":5,""text"":""血之帅"",""type"":""CONCEPT""}]"
TCM_DEV_0053,dev,血为气之母。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""气之母"",""en"":""mother of Qi"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":1,""text"":""血"",""type"":""CONCEPT""},{""start"":2,""end"":5,""text"":""气之母"",""type"":""CONCEPT""}]"
TCM_DEV_0054,dev,气行则血行。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""运行"",""en"":""movement"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":3,""end"":4,""text"":""血"",""type"":""CONCEPT""}]"
TCM_DEV_0076,dev,里热炽盛可耗气伤津。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""里热炽盛"",""en"":""exuberant interior heat"",""type"":""DIAGNOSIS""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":4,""text"":""里热炽盛"",""type"":""SYNDROME""},{""start"":6,""end"":7,""text"":""气"",""type"":""CONCEPT""}]"
TCM_DEV_0098,dev,肺热炽盛可迫津外泄。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""肺热炽盛"",""en"":""exuberant lung heat"",""type"":""PATHOGENESIS""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""start"":0,""end"":4,""text"":""肺热炽盛"",""type"":""SYNDROME""}]"
TCM_DEV_0143,dev,假神出现多提示阴阳即将离决。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""假神"",""en"":""false vitality"",""type"":""DIAGNOSIS""},{""zh"":""阴阳离决"",""en"":""separation of Yin and Yang"",""type"":""DIAGNOSIS""}]","[{""start"":0,""end"":2,""text"":""假神"",""type"":""CONCEPT""}]"
TCM_DEV_0202,dev,血虚日久可影响气的运行。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""血虚"",""en"":""blood deficiency"",""type"":""PATHOLOGY""},{""zh"":""气运行"",""en"":""movement of Qi"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":2,""text"":""血虚"",""type"":""SYNDROME""}]"
TCM_TEST_0005,test,阴阳学说可用于分析人体的生理活动。,4,2,2,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""阴阳学说"",""en"":""Yin-Yang theory"",""type"":""SUBSTANCE""},{""zh"":""生理活动"",""en"":""physiological activities"",""type"":""CONCEPT""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""动"",""en"":""motion"",""type"":""CONCEPT""}]","[{""start"":0,""end"":4,""text"":""阴阳学说"",""type"":""CONCEPT""},{""start"":12,""end"":16,""text"":""生理活动"",""type"":""CONCEPT""}]"
TCM_TEST_0006,test,阴阳学说可用于说明疾病的病理变化。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""阴阳学说"",""en"":""Yin-Yang theory"",""type"":""SUBSTANCE""},{""zh"":""病理变化"",""en"":""pathological changes"",""type"":""PATHOLOGY""},{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""疾病"",""en"":""disease"",""type"":""DISEASE""}]","[{""start"":0,""end"":4,""text"":""阴阳学说"",""type"":""CONCEPT""},{""start"":9,""end"":11,""text"":""疾病"",""type"":""CONCEPT""},{""start"":12,""end"":16,""text"":""病理变化"",""type"":""CONCEPT""}]"
TCM_TEST_0013,test,四肢外侧多属阳，四肢内侧多属阴。,4,2,2,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""四肢外侧"",""en"":""lateral sides of limbs"",""type"":""LOCATION""},{""zh"":""四肢内侧"",""en"":""medial sides of limbs"",""type"":""LOCATION""},{""zh"":""外"",""en"":""exterior"",""type"":""DIAGNOSIS""},{""zh"":""内"",""en"":""interior"",""type"":""DIAGNOSIS""}]","[{""start"":0,""end"":4,""text"":""四肢外侧"",""type"":""CONCEPT""},{""start"":8,""end"":12,""text"":""四肢内侧"",""type"":""CONCEPT""}]"
TCM_TEST_0014,test,阴阳失去平衡可导致疾病发生。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""平衡"",""en"":""balance"",""type"":""CONCEPT""},{""zh"":""疾病"",""en"":""disease"",""type"":""DISEASE""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""start"":0,""end"":2,""text"":""阴阳"",""type"":""CONCEPT""},{""start"":4,""end"":6,""text"":""平衡"",""type"":""CONCEPT""},{""start"":9,""end"":11,""text"":""疾病"",""type"":""CONCEPT""}]"
TCM_TEST_0018,test,火具有温热和升腾的特性。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""温热"",""en"":""warmth"",""type"":""THERAPY""},{""zh"":""升腾"",""en"":""upward flaring"",""type"":""CONCEPT""},{""zh"":""热"",""en"":""heat"",""type"":""PATHOGEN""},{""zh"":""火"",""en"":""fire"",""type"":""ELEMENT""}]","[{""start"":0,""end"":1,""text"":""火"",""type"":""CONCEPT""},{""start"":3,""end"":5,""text"":""温热"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""升腾"",""type"":""CONCEPT""}]"
TCM_TEST_0021,test,水具有滋润和下行的特性。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""滋润"",""en"":""moistening"",""type"":""CONCEPT""},{""zh"":""下行"",""en"":""flowing downward"",""type"":""THERAPY""},{""zh"":""下"",""en"":""lower"",""type"":""THERAPY""},{""zh"":""水"",""en"":""water"",""type"":""ELEMENT""}]","[{""start"":0,""end"":1,""text"":""水"",""type"":""CONCEPT""},{""start"":3,""end"":5,""text"":""滋润"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""下行"",""type"":""CONCEPT""}]"
TCM_TEST_0026,test,滋水涵木法通过滋肾阴以养肝阴。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""滋水涵木"",""en"":""nourishing water to moisten wood"",""type"":""CONCEPT""},{""zh"":""肾阴"",""en"":""kidney Yin"",""type"":""SUBSTANCE""},{""zh"":""肝阴"",""en"":""liver Yin"",""type"":""SUBSTANCE""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""}]","[{""start"":0,""end"":4,""text"":""滋水涵木"",""type"":""THERAPY""},{""start"":8,""end"":10,""text"":""肾阴"",""type"":""ORGAN""},{""start"":12,""end"":14,""text"":""肝阴"",""type"":""ORGAN""}]"
TCM_TEST_0027,test,益火补土法通过温肾阳以助脾阳。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""益火补土"",""en"":""benefiting fire to reinforce earth"",""type"":""THERAPY""},{""zh"":""肾阳"",""en"":""kidney Yang"",""type"":""SUBSTANCE""},{""zh"":""脾阳"",""en"":""spleen Yang"",""type"":""PATHOGENESIS""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""}]","[{""start"":0,""end"":4,""text"":""益火补土"",""type"":""THERAPY""},{""start"":8,""end"":10,""text"":""肾阳"",""type"":""ORGAN""},{""start"":12,""end"":14,""text"":""脾阳"",""type"":""ORGAN""}]"
TCM_TEST_0028,test,金水相生法同时滋养肺肾。,4,2,2,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""金水相生"",""en"":""mutual promotion of metal and water"",""type"":""CONCEPT""},{""zh"":""肺肾"",""en"":""lungs and kidneys"",""type"":""DIAGNOSIS""},{""zh"":""金"",""en"":""metal"",""type"":""ELEMENT""},{""zh"":""水"",""en"":""water"",""type"":""ELEMENT""}]","[{""start"":0,""end"":4,""text"":""金水相生"",""type"":""CONCEPT""},{""start"":9,""end"":11,""text"":""肺肾"",""type"":""CONCEPT""}]"
TCM_TEST_0029,test,培土生金法通过健脾益气以补肺气。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""培土生金"",""en"":""building up earth to generate metal"",""type"":""CONCEPT""},{""zh"":""肺气"",""en"":""lung Qi"",""type"":""SUBSTANCE""},{""zh"":""健脾"",""en"":""strengthening spleen"",""type"":""CONCEPT""},{""zh"":""土"",""en"":""earth"",""type"":""ELEMENT""}]","[{""start"":0,""end"":4,""text"":""培土生金"",""type"":""CONCEPT""},{""start"":7,""end"":9,""text"":""健脾"",""type"":""THERAPY""},{""start"":13,""end"":15,""text"":""肺气"",""type"":""ORGAN""}]"
TCM_TEST_0030,test,抑木扶土法通过疏肝健脾调和肝脾。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""抑木扶土"",""en"":""inhibiting wood to support earth"",""type"":""CONCEPT""},{""zh"":""疏肝"",""en"":""soothing liver"",""type"":""CONCEPT""},{""zh"":""健脾"",""en"":""strengthening spleen"",""type"":""CONCEPT""},{""zh"":""木"",""en"":""wood"",""type"":""ELEMENT""}]","[{""start"":0,""end"":4,""text"":""抑木扶土"",""type"":""THERAPY""},{""start"":7,""end"":9,""text"":""疏肝"",""type"":""THERAPY""},{""start"":9,""end"":11,""text"":""健脾"",""type"":""THERAPY""}]"
TCM_TEST_0031,test,佐金平木法通过清肃肺气制约肝木。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""佐金平木"",""en"":""assisting metal to subdue wood"",""type"":""CONCEPT""},{""zh"":""肺气"",""en"":""lung Qi"",""type"":""SUBSTANCE""},{""zh"":""肝木"",""en"":""liver wood"",""type"":""PATHOGENESIS""},{""zh"":""木"",""en"":""wood"",""type"":""ELEMENT""}]","[{""start"":0,""end"":4,""text"":""佐金平木"",""type"":""THERAPY""},{""start"":9,""end"":11,""text"":""肺气"",""type"":""ORGAN""},{""start"":13,""end"":15,""text"":""肝木"",""type"":""ORGAN""}]"
TCM_TEST_0032,test,泻南补北法通过泻心火以滋肾水。,4,3,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""泻南补北"",""en"":""draining south and tonifying north"",""type"":""THERAPY""},{""zh"":""心火"",""en"":""heart fire"",""type"":""DIAGNOSIS""},{""zh"":""肾水"",""en"":""kidney water"",""type"":""CONCEPT""},{""zh"":""火"",""en"":""fire"",""type"":""ELEMENT""}]","[{""start"":0,""end"":4,""text"":""泻南补北"",""type"":""CONCEPT""},{""start"":8,""end"":10,""text"":""心火"",""type"":""ORGAN""},{""start"":12,""end"":14,""text"":""肾水"",""type"":""ORGAN""}]"
