id,split,zh,spans_json,span_count,char_count,labels_json
TCM_TRAIN_0016,train,阳偏胜必然伤阴。,"[{""start"":0,""end"":3,""text"":""阳偏胜"",""type"":""CONCEPT""},{""start"":6,""end"":7,""text"":""阴"",""type"":""CONCEPT""}]",2,8,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]"
TCM_TRAIN_0017,train,阴偏胜必然伤阳。,"[{""start"":0,""end"":3,""text"":""阴偏胜"",""type"":""CONCEPT""},{""start"":6,""end"":7,""text"":""阳"",""type"":""CONCEPT""}]",2,8,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]"
TCM_TRAIN_0018,train,阴虚不能制约阳，故出现虚热证。,"[{""start"":0,""end"":2,""text"":""阴虚"",""type"":""SYNDROME""},{""start"":6,""end"":7,""text"":""阳"",""type"":""CONCEPT""},{""start"":11,""end"":14,""text"":""虚热证"",""type"":""SYNDROME""}]",3,15,"[""B-SYNDROME"",""I-SYNDROME"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""O"",""O"",""O"",""O"",""B-SYNDROME"",""I-SYNDROME"",""I-SYNDROME"",""O""]"
TCM_TRAIN_0019,train,阳虚不能制约阴，故出现虚寒证。,"[{""start"":0,""end"":2,""text"":""阳虚"",""type"":""SYNDROME""},{""start"":6,""end"":7,""text"":""阴"",""type"":""CONCEPT""},{""start"":11,""end"":14,""text"":""虚寒证"",""type"":""SYNDROME""}]",3,15,"[""B-SYNDROME"",""I-SYNDROME"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""O"",""O"",""O"",""O"",""B-SYNDROME"",""I-SYNDROME"",""I-SYNDROME"",""O""]"
TCM_TRAIN_0020,train,五行学说以相生相克解释事物之间的联系。,"[{""start"":0,""end"":4,""text"":""五行学说"",""type"":""CONCEPT""},{""start"":5,""end"":7,""text"":""相生"",""type"":""CONCEPT""},{""start"":7,""end"":9,""text"":""相克"",""type"":""CONCEPT""}]",3,19,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0021,train,心主血脉。,"[{""start"":0,""end"":1,""text"":""心"",""type"":""ORGAN""},{""start"":1,""end"":4,""text"":""主血脉"",""type"":""CONCEPT""}]",2,5,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0022,train,心气充足可以维持心的正常功能。,"[{""start"":0,""end"":2,""text"":""心气"",""type"":""ORGAN""},{""start"":8,""end"":9,""text"":""心"",""type"":""ORGAN""},{""start"":10,""end"":14,""text"":""正常功能"",""type"":""CONCEPT""}]",3,15,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0023,train,心的功能状态可以反映于心神。,"[{""start"":0,""end"":1,""text"":""心"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""功能状态"",""type"":""CONCEPT""},{""start"":11,""end"":13,""text"":""心神"",""type"":""ORGAN""}]",3,14,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]"
TCM_TRAIN_0024,train,心开窍于舌。,"[{""start"":0,""end"":1,""text"":""心"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""开窍"",""type"":""THERAPY""},{""start"":4,""end"":5,""text"":""舌"",""type"":""ORGAN""}]",3,6,"[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0025,train,肺主气和呼吸。,"[{""start"":0,""end"":1,""text"":""肺"",""type"":""ORGAN""},{""start"":1,""end"":6,""text"":""主气和呼吸"",""type"":""CONCEPT""}]",2,7,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0026,train,肺气充足可以维持肺的正常功能。,"[{""start"":0,""end"":2,""text"":""肺气"",""type"":""ORGAN""},{""start"":8,""end"":9,""text"":""肺"",""type"":""ORGAN""},{""start"":10,""end"":14,""text"":""正常功能"",""type"":""CONCEPT""}]",3,15,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0027,train,肺的功能状态可以反映于皮毛。,"[{""start"":0,""end"":1,""text"":""肺"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""功能状态"",""type"":""CONCEPT""},{""start"":11,""end"":13,""text"":""皮毛"",""type"":""ORGAN""}]",3,14,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]"
TCM_TRAIN_0028,train,肺开窍于鼻。,"[{""start"":0,""end"":1,""text"":""肺"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""开窍"",""type"":""THERAPY""},{""start"":4,""end"":5,""text"":""鼻"",""type"":""ORGAN""}]",3,6,"[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0029,train,脾主运化。,"[{""start"":0,""end"":1,""text"":""脾"",""type"":""ORGAN""},{""start"":1,""end"":4,""text"":""主运化"",""type"":""CONCEPT""}]",2,5,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0030,train,脾气充足可以维持脾的正常功能。,"[{""start"":0,""end"":2,""text"":""脾气"",""type"":""ORGAN""},{""start"":8,""end"":9,""text"":""脾"",""type"":""ORGAN""},{""start"":10,""end"":14,""text"":""正常功能"",""type"":""CONCEPT""}]",3,15,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0031,train,脾的功能状态可以反映于肌肉。,"[{""start"":0,""end"":1,""text"":""脾"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""功能状态"",""type"":""CONCEPT""},{""start"":11,""end"":13,""text"":""肌肉"",""type"":""ORGAN""}]",3,14,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]"
TCM_TRAIN_0032,train,脾开窍于口。,"[{""start"":0,""end"":1,""text"":""脾"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""开窍"",""type"":""THERAPY""},{""start"":4,""end"":5,""text"":""口"",""type"":""ORGAN""}]",3,6,"[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0033,train,肝主疏泄。,"[{""start"":0,""end"":1,""text"":""肝"",""type"":""ORGAN""},{""start"":1,""end"":4,""text"":""主疏泄"",""type"":""CONCEPT""}]",2,5,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0034,train,肝气充足可以维持肝的正常功能。,"[{""start"":0,""end"":2,""text"":""肝气"",""type"":""CONCEPT""},{""start"":8,""end"":9,""text"":""肝"",""type"":""ORGAN""},{""start"":10,""end"":14,""text"":""正常功能"",""type"":""CONCEPT""}]",3,15,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0035,train,肝的功能状态可以反映于筋。,"[{""start"":0,""end"":1,""text"":""肝"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""功能状态"",""type"":""CONCEPT""},{""start"":11,""end"":12,""text"":""筋"",""type"":""ORGAN""}]",3,13,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0036,train,肝开窍于目。,"[{""start"":0,""end"":1,""text"":""肝"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""开窍"",""type"":""THERAPY""},{""start"":4,""end"":5,""text"":""目"",""type"":""ORGAN""}]",3,6,"[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0037,train,肾主精。,"[{""start"":0,""end"":1,""text"":""肾"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""主精"",""type"":""CONCEPT""}]",2,4,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0038,train,肾气充足可以维持肾的正常功能。,"[{""start"":0,""end"":2,""text"":""肾气"",""type"":""ORGAN""},{""start"":8,""end"":9,""text"":""肾"",""type"":""ORGAN""},{""start"":10,""end"":14,""text"":""正常功能"",""type"":""CONCEPT""}]",3,15,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0039,train,肾的功能状态可以反映于骨。,"[{""start"":0,""end"":1,""text"":""肾"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""功能状态"",""type"":""CONCEPT""},{""start"":11,""end"":12,""text"":""骨"",""type"":""ORGAN""}]",3,13,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0040,train,肾开窍于耳。,"[{""start"":0,""end"":1,""text"":""肾"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""开窍"",""type"":""THERAPY""},{""start"":4,""end"":5,""text"":""耳"",""type"":""ORGAN""}]",3,6,"[""B-ORGAN"",""B-THERAPY"",""I-THERAPY"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0041,train,藏象学说研究脏腑的生理功能和病理变化。,"[{""start"":0,""end"":4,""text"":""藏象学说"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""脏腑"",""type"":""ORGAN""},{""start"":14,""end"":18,""text"":""病理变化"",""type"":""CONCEPT""}]",3,19,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0042,train,五脏化生并贮藏精气。,"[{""start"":0,""end"":2,""text"":""五脏"",""type"":""ORGAN""},{""start"":5,""end"":7,""text"":""贮藏"",""type"":""CONCEPT""},{""start"":7,""end"":9,""text"":""精气"",""type"":""CONCEPT""}]",3,10,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0043,train,六腑受纳、传化水谷。,"[{""start"":0,""end"":2,""text"":""六腑"",""type"":""ORGAN""},{""start"":5,""end"":7,""text"":""传化"",""type"":""CONCEPT""},{""start"":7,""end"":9,""text"":""水谷"",""type"":""CONCEPT""}]",3,10,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0044,train,奇恒之腑贮藏精气而不传化水谷。,"[{""start"":0,""end"":4,""text"":""奇恒之腑"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""精气"",""type"":""CONCEPT""},{""start"":12,""end"":14,""text"":""水谷"",""type"":""CONCEPT""}]",3,15,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0045,train,心气推动血液在脉中运行。,"[{""start"":0,""end"":2,""text"":""心气"",""type"":""ORGAN""},{""start"":4,""end"":6,""text"":""血液"",""type"":""CONCEPT""},{""start"":7,""end"":8,""text"":""脉"",""type"":""ORGAN""}]",3,12,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-ORGAN"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0046,train,心神以气血为物质基础。,"[{""start"":0,""end"":2,""text"":""心神"",""type"":""ORGAN""},{""start"":3,""end"":5,""text"":""气血"",""type"":""CONCEPT""},{""start"":6,""end"":10,""text"":""物质基础"",""type"":""CONCEPT""}]",3,11,"[""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0047,train,肺宣发卫气以调节腠理开合。,"[{""start"":0,""end"":1,""text"":""肺"",""type"":""ORGAN""},{""start"":3,""end"":5,""text"":""卫气"",""type"":""CONCEPT""},{""start"":8,""end"":10,""text"":""腠理"",""type"":""CONCEPT""}]",3,13,"[""B-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O""]"
TCM_TRAIN_0048,train,肺肃降功能使肺气向下运行。,"[{""start"":1,""end"":3,""text"":""肃降"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""肺气"",""type"":""ORGAN""},{""start"":8,""end"":12,""text"":""向下运行"",""type"":""CONCEPT""}]",3,13,"[""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0049,train,肺通过宣发肃降参与水液代谢。,"[{""start"":0,""end"":1,""text"":""肺"",""type"":""ORGAN""},{""start"":3,""end"":7,""text"":""宣发肃降"",""type"":""CONCEPT""},{""start"":9,""end"":13,""text"":""水液代谢"",""type"":""CONCEPT""}]",3,14,"[""B-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0050,train,脾运化水谷以化生气血。,"[{""start"":0,""end"":1,""text"":""脾"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""运化"",""type"":""CONCEPT""},{""start"":8,""end"":10,""text"":""气血"",""type"":""CONCEPT""}]",3,11,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0051,train,脾主升清，将精微上输心肺。,"[{""start"":0,""end"":1,""text"":""脾"",""type"":""ORGAN""},{""start"":2,""end"":4,""text"":""升清"",""type"":""CONCEPT""},{""start"":10,""end"":12,""text"":""心肺"",""type"":""CONCEPT""}]",3,13,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0052,train,脾气统摄血液使其循行脉中。,"[{""start"":0,""end"":2,""text"":""脾气"",""type"":""ORGAN""},{""start"":4,""end"":6,""text"":""血液"",""type"":""CONCEPT""},{""start"":10,""end"":11,""text"":""脉"",""type"":""ORGAN""}]",3,13,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-ORGAN"",""O"",""O""]"
TCM_TRAIN_0053,train,肝主疏泄以调畅气机。,"[{""start"":0,""end"":1,""text"":""肝"",""type"":""ORGAN""},{""start"":2,""end"":4,""text"":""疏泄"",""type"":""CONCEPT""},{""start"":7,""end"":9,""text"":""气机"",""type"":""CONCEPT""}]",3,10,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0054,train,肝藏血以调节血量。,"[{""start"":0,""end"":1,""text"":""肝"",""type"":""ORGAN""},{""start"":1,""end"":3,""text"":""藏血"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""血量"",""type"":""CONCEPT""}]",3,9,"[""B-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0055,train,肾精充足可以促进生长发育。,"[{""start"":0,""end"":2,""text"":""肾精"",""type"":""ORGAN""},{""start"":8,""end"":12,""text"":""生长发育"",""type"":""CONCEPT""}]",2,13,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0056,train,肾藏先天之精。,"[{""start"":0,""end"":1,""text"":""肾"",""type"":""ORGAN""},{""start"":2,""end"":6,""text"":""先天之精"",""type"":""CONCEPT""}]",2,7,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0057,train,肾精化生肾气。,"[{""start"":0,""end"":2,""text"":""肾精"",""type"":""ORGAN""},{""start"":4,""end"":6,""text"":""肾气"",""type"":""ORGAN""}]",2,7,"[""B-ORGAN"",""I-ORGAN"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O""]"
TCM_TRAIN_0058,train,肾主骨，生髓。,"[{""start"":0,""end"":1,""text"":""肾"",""type"":""ORGAN""},{""start"":2,""end"":3,""text"":""骨"",""type"":""ORGAN""},{""start"":5,""end"":6,""text"":""髓"",""type"":""ORGAN""}]",3,7,"[""B-ORGAN"",""O"",""B-ORGAN"",""O"",""O"",""B-ORGAN"",""O""]"
TCM_TRAIN_0059,train,脑为髓之海。,"[{""start"":0,""end"":1,""text"":""脑"",""type"":""ORGAN""},{""start"":2,""end"":5,""text"":""髓之海"",""type"":""CONCEPT""}]",2,6,"[""B-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0060,train,肝肾同源说明肝血与肾精相互滋生。,"[{""start"":0,""end"":4,""text"":""肝肾同源"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""肝血"",""type"":""ORGAN""},{""start"":9,""end"":11,""text"":""肾精"",""type"":""ORGAN""}]",3,16,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0061,train,木能生火。,"[{""start"":0,""end"":1,""text"":""木"",""type"":""CONCEPT""},{""start"":2,""end"":3,""text"":""生"",""type"":""CONCEPT""},{""start"":3,""end"":4,""text"":""火"",""type"":""CONCEPT""}]",3,5,"[""B-CONCEPT"",""O"",""B-CONCEPT"",""B-CONCEPT"",""O""]"
