id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities,entities_eval,entities_model,entities_gold
TCM_TEST_0011,test,功能属阳，物质属阴。,功能属阳，物质属阴。,"Function pertains to Yang, and substance pertains to Yin.",Function belongs to Yang and matter belongs to Yin.,Function belongs to Yang and matter belongs to Yin.,Function belongs to Yang and matter belongs to Yin.,Function belongs to Yang and matter belongs to Yin.,False,"[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0012,test,人体背部多属阳，腹部多属阴。,人体背部多属阳，腹部多属阴。,"The back of the human body mostly pertains to Yang, while the abdomen mostly pertains to Yin.","The back of the human body often belongs to Yang, and the abdomen often belongs to Yin.","The back of the human body often belongs to Yang, and the abdomen often belongs to Yin.","The back of the human body often belongs to Yang, and the abdomen often belongs to Yin.","The back of the human body often belongs to Yang, and the abdomen often belongs to Yin.",False,"[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0013,test,四肢外侧多属阳，四肢内侧多属阴。,四肢外侧多属阳，四肢内侧多属阴。,"The lateral sides of the limbs mostly pertain to Yang, while the medial sides mostly pertain to Yin.","The exterior side of the four limbs often belongs to Yang, and the inner side of the four limbs often belongs to Yin.","The exterior side of the four limbs often belongs to Yang, and the inner side of the four limbs often belongs to Yin.","The exterior side of the four limbs often belongs to Yang, and the inner side of the four limbs often belongs to Yin.","The exterior side of the four limbs often belongs to Yang, and the inner side of the four limbs often belongs to Yin.",False,[],[],"[{""zh"": ""四肢外侧"", ""en"": ""lateral sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""四肢内侧"", ""en"": ""medial sides of limbs"", ""type"": ""LOCATION""}]","[{""zh"": ""四肢外侧"", ""en"": ""lateral sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""四肢内侧"", ""en"": ""medial sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}]"
TCM_TEST_0014,test,阴阳失去平衡可导致疾病发生。,阴阳失去平衡可导致疾病发生。,Loss of balance between Yin and Yang can lead to disease.,Loss of balance of Yin Yang can cause disease.,Loss of balance of Yin Yang can cause disease.,Loss of balance of Yin and Yang can cause disease.,Loss of balance of Yin Yang can cause disease.,False,"[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]"
TCM_TEST_0015,test,阳胜则热，阴胜则寒。,阳胜则热，阴胜则寒。,"Excess of Yang produces heat, while excess of Yin produces cold.",Yang-yang is hot and Yin-yang is cold.,Yang-yang is hot and Yin-yang is cold.,Yang-yang is hot and Yin-yang is cold.,Yang-yang is hot and Yin-yang is cold.,False,"[{""zh"": ""阳胜"", ""en"": ""excess of Yang"", ""type"": ""SUBSTANCE""}, {""zh"": ""阴胜"", ""en"": ""excess of Yin"", ""type"": ""SUBSTANCE""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]","[{""zh"": ""阳胜"", ""en"": ""excess of Yang"", ""type"": ""SUBSTANCE""}, {""zh"": ""阴胜"", ""en"": ""excess of Yin"", ""type"": ""SUBSTANCE""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]","[{""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]","[{""zh"": ""阳胜"", ""en"": ""excess of Yang"", ""type"": ""SUBSTANCE""}, {""zh"": ""阴胜"", ""en"": ""excess of Yin"", ""type"": ""SUBSTANCE""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]"
TCM_TEST_0016,test,阳虚则寒，阴虚则热。,阳虚则寒，阴虚则热。,"Yang deficiency produces cold, while Yin deficiency produces heat.",Yin deficiency is cold and Yin deficiency is hot.,Yin deficiency is cold and Yin deficiency is hot.,Yang deficiency is cold and Yin deficiency is hot.,Yin deficiency is cold and Yin deficiency is hot.,False,"[{""zh"": ""阳虚"", ""en"": ""Yang deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阴虚"", ""en"": ""Yin deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]","[{""zh"": ""阳虚"", ""en"": ""Yang deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阴虚"", ""en"": ""Yin deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]","[{""zh"": ""阳虚"", ""en"": ""Yang deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阴虚"", ""en"": ""Yin deficiency"", ""type"": ""DIAGNOSIS""}]","[{""zh"": ""阳虚"", ""en"": ""Yang deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阴虚"", ""en"": ""Yin deficiency"", ""type"": ""DIAGNOSIS""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}]"
TCM_TEST_0017,test,木具有生长和条达的特性。,木具有生长和条达的特性。,Wood has the properties of growth and free unfolding.,Trees have characteristics of growth and reach.,Trees have characteristics of growth and reach.,Trees have characteristics of growth and reach.,Trees have characteristics of growth and reach.,False,"[{""zh"": ""生长"", ""en"": ""growth"", ""type"": ""CONCEPT""}, {""zh"": ""条达"", ""en"": ""free unfolding"", ""type"": ""PATHOGENESIS""}, {""zh"": ""木"", ""en"": ""wood"", ""type"": ""ELEMENT""}]","[{""zh"": ""生长"", ""en"": ""growth"", ""type"": ""CONCEPT""}, {""zh"": ""条达"", ""en"": ""free unfolding"", ""type"": ""PATHOGENESIS""}, {""zh"": ""木"", ""en"": ""wood"", ""type"": ""ELEMENT""}]","[{""zh"": ""木"", ""en"": ""wood"", ""type"": ""ELEMENT""}, {""zh"": ""条达"", ""en"": ""free unfolding"", ""type"": ""PATHOGENESIS""}]","[{""zh"": ""生长"", ""en"": ""growth"", ""type"": ""CONCEPT""}, {""zh"": ""条达"", ""en"": ""free unfolding"", ""type"": ""PATHOGENESIS""}, {""zh"": ""木"", ""en"": ""wood"", ""type"": ""ELEMENT""}]"
TCM_TEST_0018,test,火具有温热和升腾的特性。,火具有温热和升腾的特性。,Fire has the properties of warmth and upward flaring.,Fire has characteristics of warm heat and uplifting heat.,Fire has characteristics of warm heat and uplifting heat.,Fire has characteristics of warmth heat and uplifting heat.,Fire has characteristics of warm heat and uplifting heat.,False,"[{""zh"": ""温热"", ""en"": ""warmth"", ""type"": ""THERAPY""}, {""zh"": ""升腾"", ""en"": ""upward flaring"", ""type"": ""CONCEPT""}, {""zh"": ""火"", ""en"": ""fire"", ""type"": ""ELEMENT""}]","[{""zh"": ""温热"", ""en"": ""warmth"", ""type"": ""THERAPY""}, {""zh"": ""升腾"", ""en"": ""upward flaring"", ""type"": ""CONCEPT""}, {""zh"": ""火"", ""en"": ""fire"", ""type"": ""ELEMENT""}]","[{""zh"": ""火"", ""en"": ""fire"", ""type"": ""ELEMENT""}, {""zh"": ""温热"", ""en"": ""warmth"", ""type"": ""THERAPY""}]","[{""zh"": ""温热"", ""en"": ""warmth"", ""type"": ""THERAPY""}, {""zh"": ""升腾"", ""en"": ""upward flaring"", ""type"": ""CONCEPT""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""火"", ""en"": ""fire"", ""type"": ""ELEMENT""}]"
TCM_TEST_0019,test,土具有生化和承载的特性。,土具有生化和承载的特性。,"Earth has the properties of generation, transformation and reception.",Soil possesses biological and carrying properties.,Soil possesses biological and carrying properties.,Soil possesses biological and carrying properties.,Soil possesses biological and carrying properties.,False,"[{""zh"": ""承载"", ""en"": ""reception"", ""type"": ""CONCEPT""}, {""zh"": ""土"", ""en"": ""earth"", ""type"": ""ELEMENT""}]","[{""zh"": ""承载"", ""en"": ""reception"", ""type"": ""CONCEPT""}, {""zh"": ""土"", ""en"": ""earth"", ""type"": ""ELEMENT""}]","[{""zh"": ""土"", ""en"": ""earth"", ""type"": ""ELEMENT""}]","[{""zh"": ""生化"", ""en"": ""generation and transformation"", ""type"": ""THERAPY""}, {""zh"": ""承载"", ""en"": ""reception"", ""type"": ""CONCEPT""}, {""zh"": ""土"", ""en"": ""earth"", ""type"": ""ELEMENT""}]"
TCM_TEST_0020,test,金具有肃降和收敛的特性。,金具有肃降和收敛的特性。,"Metal has the properties of purification, descending and astringing.",Gold has characteristics of decreasing and shrinking spleen.,Gold has characteristics of decreasing and shrinking spleen.,Gold has characteristics of descending and astringing spleen.,Gold has characteristics of decreasing and shrinking spleen.,False,"[{""zh"": ""肃降"", ""en"": ""descending"", ""type"": ""FUNCTION""}, {""zh"": ""收敛"", ""en"": ""astringing"", ""type"": ""DIAGNOSIS""}, {""zh"": ""金"", ""en"": ""metal"", ""type"": ""ELEMENT""}]","[{""zh"": ""肃降"", ""en"": ""descending"", ""type"": ""FUNCTION""}, {""zh"": ""收敛"", ""en"": ""astringing"", ""type"": ""DIAGNOSIS""}, {""zh"": ""金"", ""en"": ""metal"", ""type"": ""ELEMENT""}]","[{""zh"": ""金"", ""en"": ""metal"", ""type"": ""ELEMENT""}, {""zh"": ""肃降"", ""en"": ""descending"", ""type"": ""FUNCTION""}, {""zh"": ""收敛"", ""en"": ""astringing"", ""type"": ""DIAGNOSIS""}]","[{""zh"": ""肃降"", ""en"": ""descending"", ""type"": ""FUNCTION""}, {""zh"": ""收敛"", ""en"": ""astringing"", ""type"": ""DIAGNOSIS""}, {""zh"": ""金"", ""en"": ""metal"", ""type"": ""ELEMENT""}]"
TCM_TEST_0021,test,水具有滋润和下行的特性。,水具有滋润和下行的特性。,Water has the properties of moistening and flowing downward.,Water has characteristics of hydration and descent.,Water has characteristics of hydration and descent.,Water has characteristics of hydration and descent.,Water has characteristics of hydration and descent.,False,"[{""zh"": ""滋润"", ""en"": ""moistening"", ""type"": ""CONCEPT""}, {""zh"": ""下行"", ""en"": ""flowing downward"", ""type"": ""THERAPY""}, {""zh"": ""水"", ""en"": ""water"", ""type"": ""ELEMENT""}]","[{""zh"": ""滋润"", ""en"": ""moistening"", ""type"": ""CONCEPT""}, {""zh"": ""下行"", ""en"": ""flowing downward"", ""type"": ""THERAPY""}, {""zh"": ""水"", ""en"": ""water"", ""type"": ""ELEMENT""}]","[{""zh"": ""水"", ""en"": ""water"", ""type"": ""ELEMENT""}]","[{""zh"": ""滋润"", ""en"": ""moistening"", ""type"": ""CONCEPT""}, {""zh"": ""下行"", ""en"": ""flowing downward"", ""type"": ""THERAPY""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""水"", ""en"": ""water"", ""type"": ""ELEMENT""}]"
